Sense	Concepticon_ID	Concepticon_Gloss
taub sein, verstocken		
verstockt werden, taub werden		
taub, verstockt	996	DEAF
Tochter	1357	DAUGHTER
Bewirtung, Mahl, Gastmahl, Mahlzeit	1526	MEAL
Erdhöhle, Wohnung		
Geruch, Wohlgeruch, Dunst	3704	ODOR (SMELL)
Abwaschung, Taufe, Waschung		
taufen, tauchen, sich taufen lassen	119	DIVE
Täufer		
einflügeliges Tor, Tür, Pforte	1567	DOOR
Türhüterin, Pförtnerin		
Türhüterin, Pförtnerin		
Torwart, Türhüter		
Tor	2940	GATE
zweiflügeliges Tor, Tür, Pforte	1567	DOOR
wagen	1779	DARE
Absterben, Sterben, Tod, Todesgefahr	910	DEATH
töten	1417	KILL
sterben	1494	DIE
tot	1625	DEAD
zum Tode bestimmt, dem Tode geweiht, zum Tode verurteilt		
Tod	910	DEATH
Täter		
Distel		
weise, klug	1310	CLEVER
Schlauheit		
Tat		
Teufel		
Verleumderin		
Diakon, Pfleger		
kneten, aus Ton bilden, bilden, formen	289	MOLD
Fülle		
voll, zusammengeknetet, dicht	1429	FULL
zer..., auseinander..., ver...		
verteilen, zerteilen, teilen	1119	DIVIDE
befallen		
ergreifen, behalten, festhalten	855	SEIZE
zerreißen	1735	TEAR (SHRED)
zerreißen, zerrissen werden	1735	TEAR (SHRED)
verhüllen, bedecken	761	COVER
Tisch	1775	TABLE
besitzen	684	OWN
untersinken, untergehen, sinken	1088	SINK (DESCEND)
ergreifen, überfallen	855	SEIZE
zerteilen		
zerreißen	1735	TEAR (SHRED)
zerreißen	1735	TEAR (SHRED)
Zerstreuung		
zerstreuen, vergeuden, verschwenden	79	WASTE
zerreißen, auseinanderzerren, verderben	1735	TEAR (SHRED)
zerreißen	1735	TEAR (SHRED)
auflösen		
ausplündern, berauben, plündern		
auseinanderwerfen, zermalmen, worfeln, zerstreuen	3705	SCATTER
Auflösung, Abmarsch, Scheiden		
Tiefe	2534	DEPTH
Tiefe, Meerestiefe	2534	DEPTH
vertiefen		
tief	1593	DEEP
wildes Tier, Tier	619	ANIMAL
sterben	1494	DIE
Sterblichkeit		
verstummen		
schicklich, passend		
tägig		
Urteil		
urteilen, beurteilen, unterscheiden, rechtfertigen, rechnen, meinen	2867	CALCULATE
Urteil, Ruhm		
hauen	3309	STRIKE (SOMETHING)
tragen, aufladen, ziehen	1455	PULL
Trank	731	BEVERAGE
tränken, tränken mit		
treiben, plagen, antreiben	2868	DRIVE (CATTLE)
Drachme		
Brocken, Brosamen, Bissen		
Feldzug, Kriegsdienst		
Kriegsdienste tun, zu Felde ziehen, sammeln, dienen	7	GATHER
Führer, Herrscher	3377	EMPEROR
Feldzug, Kriegsrecht, Kriegsdienst		
Heer, Schar, Gefolge, Volk	789	PEOPLE
stürzen		
treiben	2868	DRIVE (CATTLE)
trinken	1401	DRINK
zu Felde ziehen, kämpfen, Kriegsdienste tun	1423	FIGHT
fallen, herabfallen	1280	FALL
Abhang	3076	SLOPE
trüben, irre machen, aufwiegeln, bewegen, erschüttern, aufregen	765	MOVE
trüb	2341	CLOUDY
Aufruhr, Aufstand		
unruhig werden, erschüttert werden, sich beunruhigen		
Trunkenheit		
Trinker		
Trank	731	BEVERAGE
Schall		
Fall		
traut, lieb	2470	DEAR
zu, nach ... hin, für, in	1460	IN
hinzugehen, hinzukommen zu		
hinzurennen, hinzulaufen		
hinzueilen		
Taube	1853	DOVE
taugen, nützen		
sich verwickeln, sich verstricken		
beginnen, anfangen, versuchen,	1812	TRY
wozu, warum	1270	WHY
Schuldheischer, Gläubiger		
Schuld	134	FAULT
ein Fest feiern		
Fest, Osterfest	131	FESTIVAL
verstummen		
stumm	1666	MUTE
hinzulaufen, hinzurennen		
anfangen, anheben	1806	BEGIN
deshalb, deswegen, weil, damit, dazu, darum dass	1157	BECAUSE
Torenrede, törichtes Gerede		
töricht redend		
betrügen	3055	SWINDLE
Torheit		
rasen		
Verzückung, Betäubung		
töricht		
säumen, betäuben		
e, Abkürzung für 5		
da, so, in dem Fall, bei dem Umstand, dass, damit, ob, und	1577	AND
ig		
Eis, iRune	617	ICE
Eisen	621	IRON
Eisenband, Kette	1627	CHAIN
eisern		
daher, somit, nun		
Ahle		
Ameise	587	ANT
Iggws, Speer, Mann, nRune	1554	MAN
Ära, Zeitabschnitt		
Mann, edler Mann	1554	MAN
Essen	1526	MEAL
Esser		
Esser		
essend		
Pferd, eRune	615	HORSE
leicht, zRune	1052	LIGHT (WEIGHT)
Vater	1217	FATHER
Abkunft, Geschlecht, Stamm, Eltern, Großeltern, Vorfahren	505	PARENTS
Geschlecht		
väterlich		
sich freuen	1495	HAPPY
froh	1495	HAPPY
passend, geeignet, geschickt	1824	DEXTEROUS
Fang		
fangen, greifen	702	CATCH
Freude	2524	JOY
zubereiten	1100	COOK (SOMETHING)
fröhlich, froh	1495	HAPPY
tadeln		
sich freuen	1495	HAPPY
bunt	2997	COLORFUL
Vieh, Vermögen, Geld, fRune	1559	MONEY
Habsucht, Gewinnsucht, Geldgier		
habsüchtig, geldgierig, gewinnsüchtig		
Habsucht, Habgier		
geldgierig, habsüchtig		
Erwerb, Geldgewinn, Gewinn		
begehren, habgierig sein		
Habsucht, Habgier, Geldgier		
habgierig, habsüchtig	2018	GREEDY
Schuldner		
Viehansammlung, Geldansammlung, Reichtum	2996	WEALTH
ver, ent, er	1211	HE
teilhaben an		
ergreifen, greifen	855	SEIZE
Berg, Gebirge	639	MOUNTAIN
verheißen, Dank wissen		
Welt	965	WORLD
Schuld, Vorwurf, Grund, Ursache, Anklagegrund, Beschuldigung	134	FAULT
tadelig, unrecht		
tadelig		
tadeln, beschuldigen		
schuldig, tadelig, bescholten	1682	GUILTY
tadelig, unrecht		
abreisen, weggehen, sich wegbewegen	1752	LEAVE
aufspürbar, erforschlich		
alt	1229	OLD
Alter	1789	AGE
vorjährig, alt	1229	OLD
fern, fern von, weg von	1406	FAR
von fern		
sich erstrecken, reichen zu		
erwirken		
Hinblick, Aufmerken, Neugier		
angestrengt sehen		
hinblicken, gaffen, umherspähen, spähen		
Schauspiel		
Ferse	980	HEEL
Falte		
Falke	307	HAWK
fältig		
fältig		
falten, zusammenrollen, zusammenlegen	1470	FOLD
fältigkeit		
fältig		
Flugasche, Funke	518	SPARK
fahl, falb, gelblich, grau	153	GREY
Stück Zeug, Zeugstück, Lappen, Tuch, Schweißtuch	1616	CLOTH
Schlamm, Kot	675	FAECES (EXCREMENT)
Fußsoldat		
Fahrerin, Fahrt		
wandern, ziehen, fahren, gehen	1455	PULL
Pharao		
Pharisäer		
fahren, schiffen	741	DRIVE
Fahrt, Reise	2393	JOURNEY
Farbe, Aussehen, Gestalt	647	PAINT (PIGMENTS)
Binde		
Fasten	303	ABSTAIN FROM FOOD
halten, festhalten, beobachten, bewachen, fasten	1448	HOLD
Kundiger		
sparsam		
fest	3003	SOLID
Halten, Dienst, Fasten, Haltung, Gottesdienst	1448	HOLD
Umfassung, Kleiderbündel, Fetzen		
Zaun, Scheidewand	1690	FENCE
Herr, Führer	3153	LORD
Füchsin, Fuchs	1312	FOX
vor, längs, für, inbetreff, um willen, über	1883	IN FRONT OF
vor, für, vorn, längs, vorher	1883	IN FRONT OF
Straße, Gasse	667	ROAD
Vorhaut		
Vorgänger, Hausverwalter, Verwalter, Vorsteher		
vorangehen, vorstehen		
Verwaltung, Haushaltung, Vorsteheramt		
Verwalter, Vorsteher		
zuvor verheißen		
vorherdenken, sich vornehmen		
vorher gefallen		
vorherbereiten, vorher zubereiten		
vorherschreiben, verkünden		
vorherbestimmen		
vorherbestimmen		
vorausentsenden, voraussenden		
vorsetzen, vorstellen, darstellen		
vorherverkünden, vorhersagen		
Vorhang		
vorhängen		
vorbereiten	2909	PREPARE
Vorsteher, Gebieter, Sprecher		
Oberbefehl, Vorsteheramt		
vorzeichnen, vormalen, vor Augen malen		
vorgehen, vor jemand hergehen		
vorhersagen		
übertreffen		
dabeistehen, vorstehen		
Wunderzeichen		
vorher hoffen		
vorhanden sein		
Loskauf, Loskaufung, Erlösung		
vorausgehen, vorangehen		
vorangehen, zuvorkommen		
verbieten, gebieten	83	FORBID
reinigen, putzen, glätten	2235	CLEAN (SOMETHING)
verdämmen, versperren, eindämmen, hindern	697	CONTAIN
Vorurteil		
vorher urteilen		
vorübergehen, vorbeigehen		
Vorhang		
vorhängen		
Furche		
Furcht, Entsetzen		
sich fürchten	1419	FEAR (BE AFRAID)
furchtsam		
Vorlegung		
vorlegen, vorsetzen		
das Maul verbinden		
sich entschuldigen, für ungültig erklären, aufheben, umstoßen	371	PICK UP
vorhergehen		
ehrbar, bescheiden		
versiegeln		
vorwegnehmen, vorausgehen, zuvorkommen		
vorstehen		
Vorstehen, Aufsicht		
Vorsteher		
zuvor, früher, vorher	1882	BEFORE
bevor, ehe	2432	MARRIAGE
verbinden	2862	CONNECT
vorwälzen, davorwälzen		
vorsätzlich, bedacht		
wenig, wenige	1242	FEW
anständig, ehrbar		
anständig		
Gerstengraupen		
Nachstellung		
Seite, Gegend, Glied, Körperteil	2980	AREA
Aufpasser, Nachsteller		
Mann	1554	MAN
Kleidung	1895	CLOTHES
schmücken	1739	DECORATE
Speck		
vier	1500	FOUR
viertägig		
vierfältig, vierfach		
Vierfürst		
Vierfürstenamt, Tetrarchie		
vier	1500	FOUR
vierzehn	2451	FOURTEEN
viertausend		
Fingergold, Fingerring		
Finger	1303	FINGER
hassen, verabscheuen	1607	HATE
Feind	1358	ENEMY
Feindschaft		
um vieles, viel	1198	MANY
verbergen, begraben	602	HIDE (CONCEAL)
Höhle, Versteck	1155	CAVE
Fell, Haut	763	SKIN
ledern		
häutig		
Schrecken		
Filz		
viel, sehr, um vieles	1198	MANY
arglistig		
Arglist, Schlauheit, List		
sehr bunt, reichhaltig, mannigfaltig		
sehr wertvoll, sehr kostbar		
Vielheit, Menge, Übermaß	2987	AMOUNT
vieles Reden, Schwatzhaftigkeit, Geschwätz		
viel Worte machen, viel plappern, viel reden		
viel redend, viel sprechend		
fünf	493	FIVE
fünfhundert		
fünfte		
fünfzehn	1709	FIFTEEN
fünfzehnte		
fünfzig	1717	FIFTY
fünftausend		
Gerste		
Bewohner von Finnahaithi		
erkennen, erfahren	2870	RECOGNIZE (SOMEBODY)
Fischer	1858	FISHERMAN
fischen	2638	FISHING
Fisch	227	FISH
kreißen, gebären	1195	GIVE BIRTH
Flechte		
flechten	3294	BRAID (VERB) OR WEAVE (BASKET)
Flasche	1321	BOTTLE
prahlen	101	BOAST
ruhmsüchtig, prahlerisch		
Strom, Flut	666	RIVER
betrauern, beklagen		
Nahrung, Speise	256	FOOD
ernähren, aufziehen	2134	RAISE (BRING UP)
Scheide		
Feuer	221	FIRE
Fußband, Fußfessel, Fußschelle		
Fußbank, Schemel		
Fuß	1301	FOOT
ver...		
zum Essen austeilen		
vertragen, ertragen	833	ENDURE
Verkaufsurkunde		
verkaufen	1571	SELL
verteilen unter		
fragen	1309	ASK (INQUIRE)
vergeben, verleihen, schenken, geben, gewähren	1447	GIVE
Verleihung, Verlobung, Gabe		
vergelten, erstatten		
Franke		
gefangennehmen, fangen	702	CATCH
fragen	1309	ASK (INQUIRE)
versuchen	1812	TRY
Versuchung		
versuchen	1812	TRY
Versuchung		
verzehren, fressen		
Same	714	SEED
verachten	2715	DESPISE
verachtet		
Erlass, Entlassung		
lassen, freilassen, entlassen, herablassen, gestatten	2896	CAUSE TO (LET)
Freigelassener		
verraten	1902	BETRAY
verlieren	3072	MISPLACE
verloren gehen, verloren werden		
Verderben, Verlust	92	SPOIL (SOMEBODY OR SOMETHING)
weiter, von, von ... her, von ... an, an, vor, seit, bei	1883	IN FRONT OF
im Alter vorgeschritten, bejahrt		
fremd	109	FOREIGN
entfremden		
Fortschritt		
weiter		
tüchtig		
fernerhin		
zukünftig		
fortwährend, für immer		
nehmen, in Besitz nehmen, in Empfang nehmen, gewinnen	1749	TAKE
verzehren, ausgeben, vertun, verwenden	2072	USE (VERB)
Verderb, Vergeudung, Verschwendung		
verderben, umbringen	92	SPOIL (SOMEBODY OR SOMETHING)
umkommen, zugrunde gehen, verderben	92	SPOIL (SOMEBODY OR SOMETHING)
für ungültig erklären, aufheben, verfluchen, verwünschen	371	PICK UP
sich verlaufen zu, geraten unter		
verschlingen, verschlucken		
Kindschaft		
Kind	2099	CHILD
Verstand, Sinn, Gesinnung	2950	MEANING
Verstandestäuschung		
denken, erkennen, verstehen, merken, verständig sein	1536	UNDERSTAND
verständig		
Klugheit, Verstand, Verständigkeit, Besonnenheit	1562	MIND
gesinnt		
Herr	3153	LORD
Herrschaft		
herrschen, Herr sein		
Herrscher, Herr	3153	LORD
Herr	3153	LORD
froh	1495	HAPPY
treten, trampeln	1135	KICK
verwerfen, zerstreuen, wegwerfen	3696	THROW AWAY
verderben, zugrunde gehen	92	SPOIL (SOMEBODY OR SOMETHING)
Verderben	92	SPOIL (SOMEBODY OR SOMETHING)
verderben, entstellen	92	SPOIL (SOMEBODY OR SOMETHING)
sündig, Sünder		
Sünde	2971	SIN
sündigen, versündigen, eine Sünde begehen		
Strafe, Rache		
rächen, Recht verschaffen, strafen	3649	PUNISH
fortreißen, gewaltsam ergreifen		
verbrauchen, vergeuden, verschwenden	2787	CONSUME (DRINK OR EAT)
verfolgen, rächen	1047	PURSUE
verklagen, verdächtigen, verleumden, anzeigen	1841	SUSPECT
Schonung, Erhaltung		
schonen		
frei	2316	FREE
Freiheit		
frei	2316	FREE
hübsch, schön	1427	BEAUTIFUL
zärtlich liebend, liebreich		
Liebe	923	LOVE
Freiheit		
lieben, gern tun	923	LOVE
Freundin		
Freund	1325	FRIEND
Kuss, Liebeszeichen		
Gier, Sucht		
süchtig, gierig	2018	GREEDY
abbilden		
abgebildet werden, Gestalt annehmen		
Bild, Beispiel, Rätsel, dunkles Bild	3303	PICTURE (PAINTING)
frisch	243	FRESH
schützen	2900	PROTECT
Friede, Schutz	1338	PEACE
Frost, Kälte	2932	COLD (CHILL)
frieren		
klug, verständig, weise	1310	CLEVER
Klugheit, Verstand	1562	MIND
klug, verständig, weise	1310	CLEVER
Anfang	1557	BEGINNING
erste		
Erstgeborener		
Vorrang		
vorwärts	2912	FORWARD
erste		
Anfang	1557	BEGINNING
zuerst	2915	AT FIRST
Anfang	1557	BEGINNING
der erste	728	FIRST
fördern, vollbringen		
Vogel	937	BIRD
Fohlen, Füllen	2006	FILL
Volk	789	PEOPLE
verborgen		
Geheimnis		
Kriegsvolk, Schar		
Genüge leisten, dienen, Genüge tun, befriedigen, zufriedenstellen	3648	SERVE (SOMEONE)
bei Verstand sein		
vollkommen		
vollkommen		
überreden, überzeugen		
vollkommen		
Fülle		
Füllung, Erfüllung		
Fülle, Vollmond	3690	FULL MOON
Fülle, Maß, Fass	2548	BARREL
füllen, anfüllen	2006	FILL
voll werden, erfüllt werden		
Fülle, Füllung, Flicken, Ausfüllung		
voll, vollkommen	1429	FULL
faul, stinkend	1564	LAZY
Feld	212	FIELD
feurig		
bereit, eilig, tapfer	3	BRAVE
phönikisch		
590		
g, Abkürzung für 3		
ge..., mit...		
Einschränkung		
Beengung, Einschränkung		
bedrängen		
in Besitz nehmen, übervorteilen, in Beschlag nehmen		
vereinzeln, trennen	1359	SEPARATE
sich scheuen vor, achten		
beschämen, beschimpfen		
enden, endigen, aufhören	1928	CEASE
Jahr, jRune	1226	YEAR
Miterbe		
sich erbarmen, bemitleiden		
sich vermehren, zunehmen	1041	INCREASE
zwingen, gebieten, nötigen		
zusammentragen, vergleichen, gebären	1195	GIVE BIRTH
bergen, bewahren, erhalten	1997	PRESERVE
Erscheinung		
offenbaren, Gestalt gewinnen, erscheinen	1076	EMERGE (APPEAR)
durch Winke andeuten, ein Zeichen geben, andeuten		
Vorteil erlangen, Nutzen erlangen		
Wohnung aufschlagen, wohnen	363	DWELL (LIVE, RESIDE)
Zusammengebrachtes, Kollekte, Steuer		
Festgelage, Schmaus		
Mitbürger, Mitbewohner		
gern		
erfreulich		
sich freuen	1495	HAPPY
Lust, Vergnügen	2960	LONGING (WISH)
Geschlechtsregister		
Geburt, Abstammung, Geschlecht, Geburtsland	2805	BIRTH (ACCOUCHEMENT)
Reichtum	2996	WEALTH
ausharren, ertragen	833	ENDURE
durchsäuern		
bitten, beten	1828	ASK (REQUEST)
reichlich		
reich machen, bereichern		
reich sein		
reich	712	RICH
Band, Binde	2969	RIBBON
binden	1917	TIE
Band	2969	RIBBON
beugen		
abschaffen, triumphieren		
Erbarmen		
sich erbarmen, barmherzig sein		
verblenden, blenden		
verbessern, herstellen	2872	IMPROVE (SOMETHING)
verbrennen	141	BURN (SOMETHING)
zerbrechen	2558	BREAK (CLEAVE)
Brocken		
Band	2969	RIBBON
sich ereignen, eintreffen, passen	1387	ARRIVE
Teilnehmer, Genosse		
zuteilen, zerteilen, teilen	1119	DIVIDE
verstocken, verstockt machen		
Hausgenosse		
sich erkühnen, wagen, freimütig sein	1779	DARE
Tod bringen, töten	1417	KILL
sterben	1494	DIE
schön	1427	BEAUTIFUL
Tat		
kneten, bilden, aus Ton bilden	274	KNEAD
Gebilde		
Vetter	3822	MALE COUSIN
vertiefen		
schicklich, passend		
urteilen, entscheiden, sich vergleichen, sich messen mit	1818	ADJUDICATE
aushauen		
zusammentragen		
tränken mit		
Soldat	1941	SOLDIER
hinabstürzen, niederwerfen, herabwerfen		
trinken	1401	DRINK
hinfallen, aufhören, fallen	1280	FALL
in Bestürzung geraten		
Fang		
ergreifen, erfassen, ertappen, fangen	702	CATCH
zubereiten	1100	COOK (SOMETHING)
sich freuen	1495	HAPPY
übervorteilen, beanspruchen, in Besitz nehmen, täuschen	3230	DECEIVE
tadelig, bescholten		
tadelig, schuldig	1682	GUILTY
behalten, bewahren, halten	1448	HOLD
Versammlung, hoher Rat		
ehrbar, nüchtern, besonnen, gesittet		
anständig, ehrbar		
anständig, passend, schicklich		
Kleidung	1895	CLOTHES
kleiden	814	DRESS UP
Begräbnis		
begraben, verbergen	602	HIDE (CONCEAL)
erfragen, fragen, erfahren	1309	ASK (INQUIRE)
Klugheit, Besonnenheit, Verständigkeit		
klug, vernünftig	1310	CLEVER
unterjochen, herrschen		
Erhaltung, Bewahrung, Schonung		
erhalten, schonen	694	GET
Kuss		
abbilden		
abgebildet werden, Gestalt annehmen, dargestellt werden		
versöhnen		
Versöhnung		
verborgen		
beglaubigen, vollenden		
erfüllen, füllen, anfüllen	2006	FILL
erfüllt werden		
zusammenkommen, sich versammeln, kommen, sich begeben, eintreten, ausschlagen	1446	COME
zusammenheften, verbinden	2862	CONNECT
sich verwandeln, eine Gestalt annehmen		
verunreinigen, entheiligen		
zusammenfügen		
versöhnen		
sich versöhnen, versöhnt werden		
gewinnen		
Gang, Weg, Straße	2252	PATH
Gänger, Geher		
gehen, wandeln, umhergehen, kommen	1446	COME
Gehen, Gang	695	GO
Gänger, Geher		
gehen, reisen	1443	WALK
Beschluss, Verordnung, Befehl		
fromm, gottesfürchtig		
Frömmigkeit		
ehrbar, anständig		
ergreifen, enthalten, halten, haben, fangen	1448	HOLD
beherrscht		
heften, anhängen		
anhangen, sich anheften		
zusammengeheftet		
zusammenhängend		
zusammenhängend, im Zusammenhang, der Reihe nach		
heilen, herstellen	2886	PRODUCE
geheilt werden, hergestellt werden, gesund werden		
ganz unversehrt		
Verheißung, Versprechen	1675	PROMISE
zusammenrufen, verheißen, sich bekennen zu		
sich bekleiden, sich anziehen	814	DRESS UP
verhärten, verstocken		
erniedrigen		
Gehör, Predigt	2518	HEARING (AURAL SENSE)
hören, vernehmen, das Gehör bekommen	1408	HEAR
helfen	1897	HELP
Genosse, Amtsgenosse		
Genosse		
erniedrigen		
sich betrüben		
Enthaltsamkeit		
sich enthalten		
Ehebruch begehen		
Reinigung		
reinigen	2235	CLEAN (SOMETHING)
Gang	2979	WALK (MANNER)
gangbar		
Gesinnung, Sinn, Gewissen	2950	MEANING
meinen		
verhüllen, verbergen	602	HIDE (CONCEAL)
umdrehen, umkehren, bekehren	581	COME BACK
fügsam, getreu, gehorsam		
anreizen, verlocken		
Verweilen, Ruhe	3458	SILENCE
zur Ruhe kommen, aufhören, verweilen	3351	STOP DOING
weißen, weiß machen		
bedrohen, schelten, strafen	1192	THREATEN
Hölle		
gleichmachen, ebnen		
Speerspitze		
bereuen, Buße tun, sich ändern		
Mangel		
fröhlich machen, erfreuen	1271	DELIGHT
Speer	945	SPEAR
froh, fröhlich, üppig	1495	HAPPY
Waffe	951	WEAPONS
gähnen	1028	YAWN
Gürtel, Gurt	772	BELT
gürten		
Verlangen, Wunsch, Begehren	2117	DESIRE
begehren, verlangen, bedürfen	2117	DESIRE
begierig, gierig	2018	GREEDY
Leidenschaft		
Ger, Speer	945	SPEAR
schrecken		
Böcklein, Zicklein, junge Ziege		
Ziegen		
Ziege	1502	GOAT
besiegen, überwinden	782	DEFEAT
Gespann, Paar		
Genosse		
Genossin		
Zusammenstellung, Zusammenjochung, Gleichnis		
verkünden, berichten, bekanntmachen, empfehlen		
besorgen, sich kümmern, sorgen für		
erproben, prüfen	1975	CHECK
erproben, wählen, prüfen	1750	CHOOSE
zerbrechen, zerschellen, zermalmen	2558	BREAK (CLEAVE)
Überredung		
nachgeben, unterordnen, gehorchen	1635	OBEY
kennenlernen, erfahren	2218	EXPERIENCED
Anfang, Bekanntwerdung	1557	BEGINNING
bewährt, erprobt, auserwählt		
Probe, Prüfung		
Sänger		
hinlegen, legen, werfen, auflegen, aufsetzen, liegen	1456	THROW
lehren, belehren, lernen	504	LEARN
Nachfolger, Verfolger, Begleiter		
nachfolgen, befolgen, pflegen	253	CARE FOR
rufen, singen	1261	SING
aufhalten, verhindern, verzögern	1550	PREVENT
zusammenberufen, einladen	1611	INVITE
Glanz, Kostbarkeit, Pracht		
Glaube		
gläubig		
glauben, anvertrauen	1890	BELIEVE
wertvoll, kostbar, teuer	1426	EXPENSIVE
verbergen, verborgen bleiben	602	HIDE (CONCEAL)
erlösen, befreien, losmachen, loslassen, bewahren, behüten, eintreiben	1997	PRESERVE
unfruchtbarer Boden		
Miteinverleibter, eines Leibes		
gefallen		
Ähnlichkeit, Abbild		
ähnlich, gleich	1558	SIMILAR
vergleichen, gleichen, nachahmen	117	IMITATE
ähnlich, gleich	1558	SIMILAR
kommen, gehen, fahren	1446	COME
herstellen, heilen	2886	PRODUCE
hingeben, überlassen		
Verräter		
Pfahl, Kreuz	1367	CROSS
Beilager, Beischlaf		
zusammenlesen, versammeln, sammeln	7	GATHER
Lüge, Götzenbild	2826	LIE (FALSEHOOD)
Lügenapostel, falscher Apostel		
Lügenbruder, falscher Bruder		
Lügengott, Götze, falscher Gott		
ein Weib nehmen, heiraten	203	MARRY
belügen, lügen	601	LIE (MISLEAD)
Lügenprophet, falscher Prophet		
Lügenzeuge, falscher Zeuge		
Lügenchristus, falscher Christus		
erleuchten, ans Licht bringen		
unfruchtbar		
verschließen, fangen, zuschließen, schließen	1046	SHUT
sich verschließen, verschlossen werden		
gelten, bedeuten, vermögen		
Gemeinschaft		
Gemeinschaft		
Teilnehmer		
gemein machen, Gemeinschaft halten, mitteilen, Anteil haben, sich beteiligen, verunreinigen, entheiligen	2898	CONVEY (A MESSAGE)
gemein, gemeinsam, gemeinschaftlich, teilhaftig, unheilig		
Versammlung		
zerschneiden, verschneiden		
verkrüppelt, verwundet		
Auflösung		
auflösen, schmelzen	2334	MELT
zermalmen, zerknirschen		
Mitmensch, Teilnehmer, Genosse, Gemeinschaft, Genossenschaft		
zubereiten, bereiten	1100	COOK (SOMETHING)
benachbart, angrenzend		
Grenznachbarin		
grenzen an		
Ärgernis		
ärgern, Ärgernis erregen, Ärgernis nehmen	2892	MAKE ANGRY (ANNOY)
essen	1336	EAT
Erinnerung		
erinnern		
verkürzen, abkürzen, kürzen		
Schrift, Buchstabenschrift		
Geschriebenes, Schrift		
schreiben, aufschreiben, sich in die Listen eintragen lassen	1672	WRITE
groß machen, preisen, erheben		
Erinnerung, Gedächtnis	1018	MEMORY
zumessen, zuteilen		
denken, überlegen	1415	THINK (REFLECT)
Gedanke	2975	THOUGHT
mitsenden		
Raum finden, Erlaubnis haben, dürfen		
begegnen	3904	ENCOUNTER (MEET)
sich erinnern, gedenken	707	REMEMBER
Andenken, Gedächtnis	1018	MEMORY
festnageln, annageln, nageln		
es genügt		
beschimpfen, schmähen, lästern	3641	SLANDER
benennen, nennen	180	CALL BY NAME
erretten, herstellen, heilen, retten	2008	RESCUE
benetzen		
Genüge, Auskommen, Genügsamkeit		
genügen, zur Genüge versehen sein mit	3475	SUFFICE
begraben	1719	BURY
Stock, Stab, Zauber	1295	STICK
mitnehmen, erhalten, erben, davontragen, vergolten bekommen, empfangen, lernen, aufnehmen	504	LEARN
genesen, gerettet werden, selig werden	1978	RECOVER
Rettung, Heil, Erhaltung		
Verwandter		
ergreifen, erwischen, fangen	702	CATCH
gewähren, befriedigen, sich genügen lassen		
zur Genüge versehen sein		
genug, viel	1198	MANY
gähnen	1028	YAWN
Gans	1187	GOOSE
verursachen		
Wildgans		
bekleiden		
zusammenkommen, hinkommen, kommen, sich versammeln	1446	COME
übereinstimmend		
Verabredung		
sich verabreden, übereinkommen, beschließen, besprechen		
beleben, lebendig machen		
aufleben, lebendig werden		
Zusammenkunft, Versammlung, Vereinigung		
Rat geben, raten	1932	GUESS
abschätzen		
Anordnung, Satzung, Regel		
befehlen, verordnen, bestimmen, anordnen, festsetzen	1998	COMMAND
gerecht, mit Recht		
Gerechtigkeit, Gebot		
Zurechtweisung, Wiederherstellung		
Gerechtigkeit		
als gerecht erweisen, etwas richten, hinlenken, lenken, rechtfertigen	741	DRIVE
gerecht		
angeordnet		
zählen	1420	COUNT
zählen	1420	COUNT
Nachbar	1332	NEIGHBOUR
Nachbarin		
Garbe		
Hürde, Viehhof		
Hausherr		
Gehege		
Hofmann, Hofbeamter		
Hofamt		
Hofmann, Hofbeamter		
Haus, Hauswesen, Familie, Hof, Prätorium	1252	HOUSE
anständig, ehrbar		
Vorsorge treffen, raten, versorgen	1932	GUESS
bestimmte Zeit, Bestimmung, Plan		
anständig		
zusammenlaufen, zusammenkommen, erlaufen, erringen, erlangen		
erröten		
Schamhaftigkeit		
Ehrbarkeit		
ehrbar		
Rebe		
Beratung, Beratschlagung		
Flut, Überschwemmung		
Markt, Straße	633	MARKET
Schmuck	917	ORNAMENT
bereiten, kleiden	814	DRESS UP
Schmuck	917	ORNAMENT
Vorwurf, Tadel, Zurechtweisung, Beschuldigung		
erblicken, sehen,	1409	SEE
gesehen, sichtbar		
überführen, schelten, den Mund stopfen, zum Schweigen bringen, widerlegen	983	CONVICT
salben, besalben		
Hausgemeinschaft, Genosse		
opfern, zum Opfer bringen		
entsenden, geleiten		
Grundlegung		
hinsetzen, hinstellen, hinlegen, beilegen, anordnen, einsetzen, wiederherstellen	998	PUT
sich versöhnen		
versinken, untergehen	1088	SINK (DESCEND)
besiegeln, bestätigen, versiegeln		
Gefährte, Reisegefährte		
Gefährte, Reisegefährte		
sich niedersetzen, Platz nehmen		
Beschattung, Bedeckung, Bekleidung		
beschatten, bedecken	761	COVER
Erschaffung, Geschöpf		
sich zurückziehen, sich trennen	1359	SEPARATE
Unterschied, Trennung, Scheidung	1134	DIVORCE
geschieden werden, sich scheiden		
Mitknecht		
beschämt werden, sich schämen	1894	ASHAMED
erschaffen, schaffen		
schaden, Schaden zufügen, Unrecht tun	2947	DAMAGE (INJURY)
erklären, auslegen, übersetzen	2906	TRANSLATE
Sandalen, Schuhe, Schuhwerk		
beschuht		
schweigen, verstummen	48	BE SILENT
beschädigen, schädigen, schaden	1116	DAMAGE
schlafen, entschlafen, einschlafen	1585	SLEEP
aufstreichen, beschmieren		
