ID	Form_ID	Segments	Prosody	Meaning
1280	Gothic-1280_freigelassener-1	ɸ r a l e t s	CCVCVCC	Freigelassener
1281	Gothic-2686_verraten-1	ɸ r a l e w j a n	CCVCVCCVC	verraten
1282	Gothic-1282_verlieren-1	ɸ r a l ɪ u s a n	CCVCVVCVC	verlieren
1283	Gothic-1283_verlorengehenverlorenwerden-1	ɸ r a l u s n a n	CCVCVCCVC	verloren gehen, verloren werden
1284	Gothic-1284_verderbenverlust-1	ɸ r a l u s t s	CCVCVCCC	Verderben, Verlust
1285	Gothic-1285_weitervonvonhervonananvorseitbei-1	ɸ r a m	CCVC	weiter, von, von ... her, von ... an, an, vor, seit, bei
1286	Gothic-1286_imaltervorgeschrittenbejahrt-1	ɸ r a m a l d r̥ s	CCVCVCCVC	im Alter vorgeschritten, bejahrt
1287	Gothic-1287_fremd-1	ɸ r a m a θ i s	CCVCVCVC	fremd
1288	Gothic-1288_entfremden-1	ɸ r a m a θ j a n	CCVCVCCVC	entfremden
1289	Gothic-1289_fortschritt-1	ɸ r a m ɡ a h t s	CCVCCVCCC	Fortschritt
1290	Gothic-1290_weiter-1	ɸ r a m ɪ s	CCVCVC	weiter
1291	Gothic-1291_tuchtig-1	ɸ r a m s	CCVCC	tüchtig
1292	Gothic-1292_fernerhin-1	ɸ r a m w ɛ r θ ɪ s	CCVCCVCCVC	fernerhin
1293	Gothic-1293_zukunftig-2	ɸ r a m w ɛ r θ s	CCVCCVCCC	zukünftig
1294	Gothic-1294_fortwahrendfurimmer-1	ɸ r a m w ɪ ɣ ɪ s	CCVCCVCVC	fortwährend, für immer
1295	Gothic-1295_nehmeninbesitznehmeninempfangnehmengewinnen-1	ɸ r a n ɪ m a n	CCVCVCVC	nehmen, in Besitz nehmen, in Empfang nehmen, gewinnen
1296	Gothic-1296_verzehrenausgebenvertunverwenden-1	ɸ r a kʷ ɪ m a n	CCVCVCVC	verzehren, ausgeben, vertun, verwenden
1297	Gothic-1297_verderbvergeudungverschwendung-1	ɸ r a kʷ ɪ s t i n s	CCVCVCCVCC	Verderb, Vergeudung, Verschwendung
1298	Gothic-1298_verderbenumbringen-1	ɸ r a kʷ ɪ s t j a n	CCVCVCCCVC	verderben, umbringen
1299	Gothic-1299_umkommenzugrundegehenverderben-1	ɸ r a kʷ ɪ s t n a n	CCVCVCCCVC	umkommen, zugrunde gehen, verderben
1300	Gothic-1300_furungultigerklarenaufhebenverfluchenverwunschen-1	ɸ r a kʷ ɪ θ a n	CCVCVCVC	für ungültig erklären, aufheben, verfluchen, verwünschen
1301	Gothic-1301_sichverlaufenzugeratenunter-1	ɸ r a r ɪ nː a n	CCVCVCVC	sich verlaufen zu, geraten unter
1302	Gothic-1302_verschlingenverschlucken-1	ɸ r a s l ɪ n d a n	CCVCCVCCVC	verschlingen, verschlucken
1303	Gothic-1303_kindschaft-1	ɸ r a s t ɪ s ɪ β j a	CCVCCVCVCCV	Kindschaft
1304	Gothic-2535_kind-2	ɸ r a s t s	CCVCCC	Kind
1305	Gothic-1305_verstandsinngesinnung-1	ɸ r a θ ɪ	CCVCV	Verstand, Sinn, Gesinnung
1306	Gothic-1306_verstandestauschung-1	ɸ r a θ j a m a r z i n s	CCVCCVCVCCVCC	Verstandestäuschung
1307	Gothic-1307_denkenerkennenverstehenmerkenverstandigsein-1	ɸ r a θ j a n	CCVCCVC	denken, erkennen, verstehen, merken, verständig sein
1308	Gothic-1308_verstandig-1	ɸ r a θ j a n d s	CCVCCVCCC	verständig
1309	Gothic-1309_klugheitverstandverstandigkeitbesonnenheit-1	ɸ r a θ j i	CCVCCV	Klugheit, Verstand, Verständigkeit, Besonnenheit
1310	Gothic-1310_gesinnt-1	ɸ r a θ j ɪ s	CCVCCVC	gesinnt
1311	Gothic-1315_herr-1	ɸ r ɔ j a	CCVCV	Herr
1312	Gothic-1312_herrschaft-1	ɸ r ɔ j ɪ n a sː u s	CCVCVCVCVC	Herrschaft
1313	Gothic-1313_herrschenherrsein-1	ɸ r ɔ j ɪ n o n	CCVCVCVC	herrschen, Herr sein
1314	Gothic-1314_herrscherherr-1	ɸ r ɔ j ɪ n o n d s	CCVCVCVCCC	Herrscher, Herr
1315	Gothic-1315_herr-2	ɸ r ɔ j ɪ s	CCVCVC	Herr
1316	Gothic-4776_froh-2	ɸ r ɔ s	CCVC	froh
1317	Gothic-1317_tretentrampeln-1	ɸ r a t r u ð a n	CCVCCVCVC	treten, trampeln
1318	Gothic-1318_verwerfenzerstreuenwegwerfen-1	ɸ r a w ɛ r p a n	CCVCVCCVC	verwerfen, zerstreuen, wegwerfen
1319	Gothic-1319_verderbenzugrundegehen-1	ɸ r a w ɛ r θ a n	CCVCVCCVC	verderben, zugrunde gehen
1320	Gothic-3151_verderben-1	ɸ r a w a r d i n s	CCVCVCCVCC	Verderben
1321	Gothic-1321_verderbenentstellen-1	ɸ r a w a r d j a n	CCVCVCCCVC	verderben, entstellen
1322	Gothic-1322_sundigsunder-1	ɸ r a w ɔ r h t s	CCVCVCCCC	sündig, Sünder
1323	Gothic-3701_sunde-1	ɸ r a w ɔ r h t s	CCVCVCCCC	Sünde
1324	Gothic-1324_sundigenversundigeneinesundebegehen-1	ɸ r a w ɔ r k j a n	CCVCVCCCVC	sündigen, versündigen, eine Sünde begehen
1325	Gothic-1325_straferache-1	ɸ r a w i t	CCVCVC	Strafe, Rache
1326	Gothic-1326_rachenrechtverschaffenstrafen-1	ɸ r a w i t a n	CCVCVCVC	rächen, Recht verschaffen, strafen
1327	Gothic-1327_fortreiengewaltsamergreifen-1	ɸ r a w ɪ l w a n	CCVCVCCVC	fortreißen, gewaltsam ergreifen
1328	Gothic-1328_verbrauchenvergeudenverschwenden-1	ɸ r a w ɪ s a n	CCVCVCVC	verbrauchen, vergeuden, verschwenden
1329	Gothic-1329_verfolgenrachen-1	ɸ r a w r ɪ k a n	CCVCCVCVC	verfolgen, rächen
1330	Gothic-1330_verklagenverdachtigenverleumdenanzeigen-1	ɸ r a w r o h j a n	CCVCCVCCVC	verklagen, verdächtigen, verleumden, anzeigen
1331	Gothic-1331_schonungerhaltung-1	ɸ r i ð i n s	CCVCVCC	Schonung, Erhaltung
1332	Gothic-1332_schonen-1	ɸ r i ð j a n	CCVCCVC	schonen
1333	Gothic-1335_frei-1	ɸ r i h a l s	CCVCVCC	frei
1334	Gothic-1339_freiheit-1	ɸ r i h a l s	CCVCVCC	Freiheit
1335	Gothic-1335_frei-2	ɸ r i s	CCVC	frei
1336	Gothic-1336_hubschschon-1	ɸ r i θ s	CCVCC	hübsch, schön
1337	Gothic-1337_zartlichliebendliebreich-1	ɸ r ɪ a θ w a m ɪ l d s	CCVVCCVCVCCC	zärtlich liebend, liebreich
1338	Gothic-2743_liebe-1	ɸ r ɪ j a θ w a	CCVCVCCV	Liebe
1339	Gothic-1339_freiheit-2	ɸ r ɪ j i	CCVCV	Freiheit
1340	Gothic-1340_liebengerntun-1	ɸ r ɪ j o n	CCVCVC	lieben, gern tun
1341	Gothic-1341_freundin-1	ɸ r ɪ j o n d ɪ	CCVCVCCV	Freundin
1342	Gothic-4727_freund-1	ɸ r ɪ j o n d s	CCVCVCCC	Freund
1343	Gothic-1343_kussliebeszeichen-1	ɸ r ɪ j o n s	CCVCVCC	Kuss, Liebeszeichen
1344	Gothic-1344_giersucht-1	ɸ r ɪ k i	CCVCV	Gier, Sucht
1345	Gothic-1345_suchtiggierig-1	ɸ r ɪ k s	CCVCC	süchtig, gierig
1346	Gothic-1493_abbilden-1	ɸ r ɪ s a h t j a n	CCVCVCCCVC	abbilden
1347	Gothic-1347_abgebildetwerdengestaltannehmen-1	ɸ r ɪ s a h t n a n	CCVCVCCCVC	abgebildet werden, Gestalt annehmen
1348	Gothic-1348_bildbeispielratseldunklesbild-1	ɸ r ɪ s a h t s	CCVCVCCC	Bild, Beispiel, Rätsel, dunkles Bild
1349	Gothic-1349_frisch-1	ɸ r ɪ s k s	CCVCCC	frisch
1350	Gothic-1350_schutzen-1	ɸ r ɪ θ o n	CCVCVC	schützen
1351	Gothic-1351_friedeschutz-1	ɸ r ɪ θ u s	CCVCVC	Friede, Schutz
1352	Gothic-1352_frostkalte-1	ɸ r ɪ u s	CCVVC	Frost, Kälte
1353	Gothic-1353_frieren-1	ɸ r ɪ u s a n	CCVVCVC	frieren
1354	Gothic-1356_klugverstandigweise-1	ɸ r o ð a β a	CCVCVCV	klug, verständig, weise
1355	Gothic-1355_klugheitverstand-1	ɸ r o ð i	CCVCV	Klugheit, Verstand
1356	Gothic-1356_klugverstandigweise-2	ɸ r o θ s	CCVCC	klug, verständig, weise
1357	Gothic-1365_anfang-2	ɸ r u m	CCVC	Anfang
1358	Gothic-1362_erste-1	ɸ r u m a	CCVCV	erste
1359	Gothic-1359_erstgeborener-1	ɸ r u m a β ɔ r	CCVCVCVC	Erstgeborener
1360	Gothic-1360_vorrang-1	ɸ r u m a ð i	CCVCVCV	Vorrang
1361	Gothic-1361_vorwarts-1	ɸ r u m a θ	CCVCVC	vorwärts
1362	Gothic-1362_erste-2	ɸ r u m a θ i s	CCVCVCVC	erste
1363	Gothic-1365_anfang-3	ɸ r u m i	CCVCV	Anfang
1364	Gothic-1364_zuerst-1	ɸ r u m ɪ s t	CCVCVCC	zuerst
1365	Gothic-1365_anfang-4	ɸ r u m ɪ s t ɪ	CCVCVCCV	Anfang
1366	Gothic-1366_dererste-1	ɸ r u m ɪ s t s	CCVCVCCC	der erste
1367	Gothic-1367_fordernvollbringen-1	ɸ r u m j a n	CCVCCVC	fördern, vollbringen
1368	Gothic-1368_vogel-1	ɸ u ɣ l̥ s	CVCVC	Vogel
1369	Gothic-1369_fohlenfullen-1	ɸ u l a	CVCV	Fohlen, Füllen
1370	Gothic-1370_volk-1	ɸ u l c u s	CVCCVC	Volk
1371	Gothic-1497_verborgen-2	ɸ u l ɡ ɪ n s	CVCCVCC	verborgen
1372	Gothic-1372_geheimnis-1	ɸ u l h s n ɪ	CVCCCCV	Geheimnis
1373	Gothic-1373_kriegsvolkschar-1	ɸ u l k	CVCC	Kriegsvolk, Schar
1374	Gothic-1374_genugeleistendienengenugetunbefriedigenzufriedenstellen-1	ɸ u lː a ɸ a h j a n	CVCVCVCCVC	Genüge leisten, dienen, Genüge tun, befriedigen, zufriedenstellen
1375	Gothic-1375_beiverstandsein-1	ɸ u lː a ɸ r a θ j a n	CVCVCCVCCVC	bei Verstand sein
1376	Gothic-1379_vollkommen-1	ɸ u lː a t o j ɪ s	CVCVCVCVC	vollkommen
1377	Gothic-1379_vollkommen-2	ɸ u lː a w i s	CVCVCVC	vollkommen
1378	Gothic-1378_uberredenuberzeugen-1	ɸ u lː a w i s j a n	CVCVCVCCVC	überreden, überzeugen
1379	Gothic-1379_vollkommen-3	ɸ u lː a w ɪ t a	CVCVCVCV	vollkommen
1380	Gothic-1380_fulle-2	ɸ u lː i	CVCV	Fülle
1381	Gothic-1381_fullungerfullung-1	ɸ u lː i n s	CVCVCC	Füllung, Erfüllung
1382	Gothic-1382_fullevollmond-1	ɸ u lː i θ s	CVCVCC	Fülle, Vollmond
1383	Gothic-1383_fullemafass-1	ɸ u lː j a	CVCCV	Fülle, Maß, Fass
1384	Gothic-1384_fullenanfullen-1	ɸ u lː j a n	CVCCVC	füllen, anfüllen
1385	Gothic-1385_vollwerdenerfulltwerden-1	ɸ u lː n a n	CVCCVC	voll werden, erfüllt werden
1386	Gothic-1386_fullefullungflickenausfullung-1	ɸ u lː o	CVCV	Fülle, Füllung, Flicken, Ausfüllung
1387	Gothic-1387_vollvollkommen-1	ɸ u lː s	CVCC	voll, vollkommen
1388	Gothic-1388_faulstinkend-1	ɸ u l s	CVCC	faul, stinkend
1389	Gothic-1389_feld-1	ɸ u l θ	CVCC	Feld
1390	Gothic-1390_feurig-1	ɸ u n ɪ s k s	CVCVCCC	feurig
1391	Gothic-1391_bereiteiligtapfer-1	ɸ u n s	CVCC	bereit, eilig, tapfer
1392	Gothic-1392_phonikisch-1	ɸ w n i k ɪ s k s	CVCVCVCCC	phönikisch
1393	Gothic-1393_590-1	ɸ j	CC	
1394	Gothic-1394_gabkurzungfur3-1	ɡ	C	g, Abkürzung für
1395	Gothic-1395_gemit-1	ɡ a	CV	ge..., mit...
1396	Gothic-1396_einschrankung-1	ɡ a a ɡ ɡ w i	CVVCCCV	Einschränkung
1397	Gothic-1397_beengungeinschrankung-1	ɡ a a ɡ ɡ w i n s	CVVCCCVCC	Beengung, Einschränkung
1398	Gothic-1851_bedrangen-1	ɡ a a ɡ ɡ w j a n	CVVCCCCVC	bedrängen
1399	Gothic-1399_inbesitznehmenubervorteileninbeschlagnehmen-1	ɡ a ɛ ɣ ɪ n o n	CVVCVCVC	in Besitz nehmen, übervorteilen, in Beschlag nehmen
1400	Gothic-1400_vereinzelntrennen-1	ɡ a ɛ n a n	CVVCVC	vereinzeln, trennen
1401	Gothic-1401_sichscheuenvorachten-1	ɡ a ɛ s t a n	CVVCCVC	sich scheuen vor, achten
1402	Gothic-1402_beschamenbeschimpfen-1	ɡ a ɛ w ɪ s k o n	CVVCVCCVC	beschämen, beschimpfen
1403	Gothic-1403_endenendigenaufhoren-1	ɡ a a n d j a n	CVVCCCVC	enden, endigen, aufhören
1404	Gothic-1404_jahrjrune-1	ɡ a a r	CVVC	Jahr, jRune
1405	Gothic-1405_miterbe-1	ɡ a a r b j a	CVVCCCV	Miterbe
1406	Gothic-1406_sicherbarmenbemitleiden-2	ɡ a a r m a n	CVVCCVC	sich erbarmen, bemitleiden
1407	Gothic-1407_sichvermehrenzunehmen-2	ɡ a ɔ k a n	CVVCVC	sich vermehren, zunehmen
1408	Gothic-1408_zwingengebietennotigen-1	ɡ a β ɛ ð j a n	CVCVCCVC	zwingen, gebieten, nötigen
1409	Gothic-1409_zusammentragenvergleichengebaren-1	ɡ a β ɛ r a n	CVCVCVC	zusammentragen, vergleichen, gebären
1410	Gothic-1410_bergenbewahrenerhalten-2	ɡ a β ɛ r ɡ a n	CVCVCCVC	bergen, bewahren, erhalten
1411	Gothic-1411_erscheinung-2	ɡ a β ɛ r h t i n s	CVCVCCCVCC	Erscheinung
1412	Gothic-1412_offenbarengestaltgewinnenerscheinen-1	ɡ a β ɛ r h t j a n	CVCVCCCCVC	offenbaren, Gestalt gewinnen, erscheinen
1413	Gothic-1413_durchwinkeandeuteneinzeichengebenandeuten-1	ɡ a β a n d w j a n	CVCVCCCCVC	durch Winke andeuten, ein Zeichen geben, andeuten
1414	Gothic-1414_vorteilerlangennutzenerlangen-1	ɡ a β a t n a n	CVCVCCVC	Vorteil erlangen, Nutzen erlangen
1415	Gothic-1415_wohnungaufschlagenwohnen-1	ɡ a β ɔ a n	CVCVVC	Wohnung aufschlagen, wohnen
1416	Gothic-1416_zusammengebrachteskollektesteuer-1	ɡ a β ɔ r	CVCVC	Zusammengebrachtes, Kollekte, Steuer
1417	Gothic-1417_festgelageschmaus-1	ɡ a β ɔ r	CVCVC	Festgelage, Schmaus
1418	Gothic-1418_mitburgermitbewohner-1	ɡ a β ɔ r ɡ j a	CVCVCCCV	Mitbürger, Mitbewohner
1419	Gothic-2632_gern-1	ɡ a β ɔ r j a β a	CVCVCCVCV	gern
1420	Gothic-1420_erfreulich-1	ɡ a β ɔ r j o	CVCVCCV	erfreulich
1421	Gothic-1473_sichfreuen-3	ɡ a β ɔ r j o n	CVCVCCVC	sich freuen
1422	Gothic-1422_lustvergnugen-1	ɡ a β ɔ r j o θ u s	CVCVCCVCVC	Lust, Vergnügen
1423	Gothic-1423_geschlechtsregister-1	ɡ a β ɔ r θ ɪ w ɔ r d	CVCVCCVCVCC	Geschlechtsregister
1424	Gothic-1424_geburtabstammunggeschlechtgeburtsland-1	ɡ a β ɔ r θ s	CVCVCCC	Geburt, Abstammung, Geschlecht, Geburtsland
1425	Gothic-1425_reichtum-1	ɡ a β i	CVCV	Reichtum
1426	Gothic-1426_ausharrenertragen-1	ɡ a β i ð a n	CVCVCVC	ausharren, ertragen
1427	Gothic-1427_durchsauern-1	ɡ a β i s t j a n	CVCVCCCVC	durchsäuern
1428	Gothic-1428_bittenbeten-1	ɡ a β ɪ ð j a n	CVCVCCVC	bitten, beten
1429	Gothic-1429_reichlich-1	ɡ a β ɪ ɣ a β a	CVCVCVCV	reichlich
1430	Gothic-1430_reichmachenbereichern-1	ɡ a β ɪ ɣ j a n	CVCVCCVC	reich machen, bereichern
1431	Gothic-1431_reichsein-1	ɡ a β ɪ ɣ n a n	CVCVCCVC	reich sein
1432	Gothic-1432_reich-1	ɡ a β ɪ ɣ s	CVCVCC	reich
1433	Gothic-1433_bandbinde-1	ɡ a β ɪ n d a	CVCVCCV	Band, Binde
1434	Gothic-4694_binden-2	ɡ a β ɪ n d a n	CVCVCCVC	binden
1435	Gothic-1445_band-2	ɡ a β ɪ n d ɪ	CVCVCCV	Band
1436	Gothic-1436_beugen-1	ɡ a β ɪ u ɣ a n	CVCVVCVC	beugen
1437	Gothic-1437_abschaffentriumphieren-1	ɡ a β l ɔ θ j a n	CVCCVCCVC	abschaffen, triumphieren
1438	Gothic-1438_erbarmen-1	ɡ a β l i θ i n s	CVCCVCVCC	Erbarmen
1439	Gothic-1439_sicherbarmenbarmherzigsein-1	ɡ a β l i θ j a n	CVCCVCCVC	sich erbarmen, barmherzig sein
1440	Gothic-1440_verblendenblenden-1	ɡ a β l ɪ n d j a n	CVCCVCCCVC	verblenden, blenden
1441	Gothic-1441_verbessernherstellen-1	ɡ a β o t j a n	CVCVCCVC	verbessern, herstellen
1442	Gothic-4150_verbrennen-2	ɡ a β r a nː j a n	CVCCVCCVC	verbrennen
1443	Gothic-1443_zerbrechen-1	ɡ a β r ɪ k a n	CVCCVCVC	zerbrechen
1444	Gothic-1444_brocken-3	ɡ a β r u k a	CVCCVCV	Brocken
1445	Gothic-1445_band-3	ɡ a β u n d ɪ	CVCVCCV	Band
1446	Gothic-1446_sichereigneneintreffenpassen-1	ɡ a ð a β a n	CVCVCVC	sich ereignen, eintreffen, passen
1447	Gothic-1447_teilnehmergenosse-1	ɡ a ð ɛ l a	CVCVCV	Teilnehmer, Genosse
1448	Gothic-1448_zuteilenzerteilenteilen-1	ɡ a ð ɛ l j a n	CVCVCCVC	zuteilen, zerteilen, teilen
1449	Gothic-1449_verstockenverstocktmachen-1	ɡ a ð ɔ β j a n	CVCVCCVC	verstocken, verstockt machen
1450	Gothic-2374_hausgenosse-1	ɡ a ð ɔ k a	CVCVCV	Hausgenosse
1451	Gothic-1451_sicherkuhnenwagenfreimutigsein-1	ɡ a ð ɔ r s a n	CVCVCCVC	sich erkühnen, wagen, freimütig sein
1452	Gothic-1452_todbringentoten-1	ɡ a ð ɔ θ j a n	CVCVCCVC	Tod bringen, töten
1453	Gothic-1453_sterben-3	ɡ a ð ɔ θ n a n	CVCVCCVC	sterben
1454	Gothic-1454_schon-1	ɡ a ð e l t h a	CVCVCCCV	schön
1455	Gothic-1455_tat-2	ɡ a ð e θ s	CVCVCC	Tat
1456	Gothic-1456_knetenbildenaustonbilden-1	ɡ a ð ɪ ɣ a n	CVCVCVC	kneten, bilden, aus Ton bilden
1457	Gothic-1457_gebilde-1	ɡ a ð ɪ ɣ ɪ s	CVCVCVC	Gebilde
1458	Gothic-1458_vetter-1	ɡ a ð ɪ l ɪ ŋ ɡ s	CVCVCVCCC	Vetter
1459	Gothic-1459_vertiefen-2	ɡ a ð ɪ u p j a n	CVCVVCCVC	vertiefen
1460	Gothic-1460_schicklichpassend-2	ɡ a ð o ɸ s	CVCVCC	schicklich, passend
1461	Gothic-1461_urteilenentscheidensichvergleichensichmessenmit-1	ɡ a ð o m j a n	CVCVCCVC	urteilen, entscheiden, sich vergleichen, sich messen mit
1462	Gothic-1462_aushauen-1	ɡ a ð r a β a n	CVCCVCVC	aushauen
1463	Gothic-1463_zusammentragen-1	ɡ a ð r a ɣ a n	CVCCVCVC	zusammentragen
1464	Gothic-1464_trankenmit-1	ɡ a ð r a ŋ k j a n	CVCCVCCCVC	tränken mit
1465	Gothic-1465_soldat-2	ɡ a ð r ɔ h t s	CVCCVCCC	Soldat
1466	Gothic-1466_hinabsturzenniederwerfenherabwerfen-1	ɡ a ð r ɔ s j a n	CVCCVCCVC	hinabstürzen, niederwerfen, herabwerfen
1467	Gothic-1467_trinken-2	ɡ a ð r ɪ ŋ k a n	CVCCVCCVC	trinken
1468	Gothic-1468_hinfallenaufhorenfallen-1	ɡ a ð r ɪ u s a n	CVCCVVCVC	hinfallen, aufhören, fallen
1469	Gothic-1469_inbesturzunggeraten-1	ɡ a ð r o β n a n	CVCCVCCVC	in Bestürzung geraten
1470	Gothic-1470_fang-2	ɡ a ɸ a h	CVCVC	Fang
1471	Gothic-1471_ergreifenerfassenertappenfangen-1	ɡ a ɸ a h a n	CVCVCVC	ergreifen, erfassen, ertappen, fangen
1472	Gothic-1472_zubereiten-2	ɡ a ɸ a h r j a n	CVCVCCCVC	zubereiten
1473	Gothic-1473_sichfreuen-4	ɡ a ɸ ɛ h a n	CVCVCVC	sich freuen
1474	Gothic-1474_ubervorteilenbeansprucheninbesitznehmentauschen-1	ɡ a ɸ ɛ h o n	CVCVCVC	übervorteilen, beanspruchen, in Besitz nehmen, täuschen
1475	Gothic-1475_tadeligbescholten-1	ɡ a ɸ ɛ r ɪ n o n d s	CVCVCVCVCCC	tadelig, bescholten
1476	Gothic-1476_tadeligschuldig-1	ɡ a ɸ ɛ r ɪ n o θ s	CVCVCVCVCC	tadelig, schuldig
1477	Gothic-1477_behaltenbewahrenhalten-1	ɡ a ɸ a s t a n	CVCVCCVC	behalten, bewahren, halten
1478	Gothic-1478_versammlunghoherrat-1	ɡ a ɸ ɔ r d s	CVCVCCC	Versammlung, hoher Rat
1479	Gothic-1479_ehrbarnuchternbesonnengesittet-1	ɡ a ɸ ɔ r s	CVCVCC	ehrbar, nüchtern, besonnen, gesittet
1480	Gothic-1726_anstandigehrbar-2	ɡ a ɸ e h a β a	CVCVCVCV	anständig, ehrbar
1481	Gothic-1481_anstandigpassendschicklich-1	ɡ a ɸ e h s	CVCVCC	anständig, passend, schicklich
1482	Gothic-1482_kleidung-2	ɡ a ɸ e t i n s	CVCVCVCC	Kleidung
1483	Gothic-2082_kleiden-1	ɡ a ɸ e t j a n	CVCVCCVC	kleiden
1484	Gothic-4373_begrabnis-1	ɡ a ɸ ɪ l h	CVCVCC	Begräbnis
1485	Gothic-1485_begrabenverbergen-1	ɡ a ɸ ɪ l h a n	CVCVCCVC	begraben, verbergen
1486	Gothic-1486_erfragenfragenerfahren-1	ɡ a ɸ r ɛ h n a n	CVCCVCCVC	erfragen, fragen, erfahren
1487	Gothic-1487_klugheitbesonnenheitverstandigkeit-1	ɡ a ɸ r a θ j i	CVCCVCCV	Klugheit, Besonnenheit, Verständigkeit
1488	Gothic-1488_klugvernunftig-1	ɡ a ɸ r a θ j ɪ s	CVCCVCCVC	klug, vernünftig
1489	Gothic-1489_unterjochenherrschen-1	ɡ a ɸ r ɔ j ɪ n o n	CVCCVCVCVC	unterjochen, herrschen
1490	Gothic-1490_erhaltungbewahrungschonung-1	ɡ a ɸ r i ð i n s	CVCCVCVCC	Erhaltung, Bewahrung, Schonung
1491	Gothic-1491_erhaltenschonen-1	ɡ a ɸ r i ð j a n	CVCCVCCVC	erhalten, schonen
1492	Gothic-1492_kuss-1	ɡ a ɸ r ɪ j o n s	CVCCVCVCC	Kuss
1493	Gothic-1493_abbilden-2	ɡ a ɸ r ɪ s a h t j a n	CVCCVCVCCCVC	abbilden
1494	Gothic-1494_abgebildetwerdengestaltannehmendargestelltwerden-1	ɡ a ɸ r ɪ s a h t n a n	CVCCVCVCCCVC	abgebildet werden, Gestalt annehmen, dargestellt werden
1495	Gothic-1878_versohnen-1	ɡ a ɸ r ɪ θ o n	CVCCVCVC	versöhnen
1496	Gothic-1496_versohnung-1	ɡ a ɸ r ɪ θ o n s	CVCCVCVCC	Versöhnung
1497	Gothic-1497_verborgen-3	ɡ a ɸ u l ɡ ɪ n s	CVCVCCVCC	verborgen
1498	Gothic-1498_beglaubigenvollenden-1	ɡ a ɸ u lː a w i s j a n	CVCVCVCVCCVC	beglaubigen, vollenden
1499	Gothic-1499_erfullenfullenanfullen-1	ɡ a ɸ u lː j a n	CVCVCCVC	erfüllen, füllen, anfüllen
1500	Gothic-1500_erfulltwerden-1	ɡ a ɸ u lː n a n	CVCVCCVC	erfüllt werden
1501	Gothic-1501_zusammenkommensichversammelnkommensichbegebeneintretenausschlagen-1	ɡ a ɣ a ŋ ɡ a n	CVCVCCVC	zusammenkommen, sich versammeln, kommen, sich begeben, eintreten, ausschlagen
1502	Gothic-1502_zusammenheftenverbinden-1	ɡ a ɣ a h a ɸ t j a n	CVCVCVCCCVC	zusammenheften, verbinden
1503	Gothic-1503_sichverwandelneinegestaltannehmen-1	ɡ a ɣ a l i k o n	CVCVCVCVC	sich verwandeln, eine Gestalt annehmen
1504	Gothic-1504_verunreinigenentheiligen-1	ɡ a ɣ a m ɛ n j a n	CVCVCVCCVC	verunreinigen, entheiligen
1505	Gothic-1505_zusammenfugen-1	ɡ a ɣ a t ɪ l o n	CVCVCVCVC	zusammenfügen
1506	Gothic-1878_versohnen-2	ɡ a ɣ a w ɛ r θ j a n	CVCVCVCCCVC	versöhnen
1507	Gothic-1507_sichversohnenversohntwerden-1	ɡ a ɣ a w ɛ r θ n a n	CVCVCVCCCVC	sich versöhnen, versöhnt werden
1508	Gothic-1508_gewinnen-1	ɡ a ɣ i ɣ a n	CVCVCVC	gewinnen
1509	Gothic-1509_gangwegstrae-1	ɡ a ŋ ɡ	CVCC	Gang, Weg, Straße
1510	Gothic-1513_gangergeher-1	ɡ a ŋ ɡ a	CVCCV	Gänger, Geher
1511	Gothic-1511_gehenwandelnumhergehenkommen-1	ɡ a ŋ ɡ a n	CVCCVC	gehen, wandeln, umhergehen, kommen
1512	Gothic-1512_gehengang-1	ɡ a ŋ ɡ ɪ	CVCCV	Gehen, Gang
1513	Gothic-1513_gangergeher-2	ɡ a ŋ ɡ j a	CVCCCV	Gänger, Geher
1514	Gothic-1514_gehenreisen-1	ɡ a ŋ ɡ j a n	CVCCCVC	gehen, reisen
1515	Gothic-1967_beschlussverordnungbefehl-1	ɡ a ɣ r e ɸ t s	CVCCVCCC	Beschluss, Verordnung, Befehl
1516	Gothic-1516_frommgottesfurchtig-1	ɡ a ɣ u ð a β a	CVCVCVCV	fromm, gottesfürchtig
1517	Gothic-1996_frommigkeit-1	ɡ a ɣ u ð i	CVCVCV	Frömmigkeit
1518	Gothic-1518_ehrbaranstandig-1	ɡ a ɣ u θ s	CVCVCC	ehrbar, anständig
1519	Gothic-1519_ergreifenenthaltenhaltenhabenfangen-1	ɡ a h a β a n	CVCVCVC	ergreifen, enthalten, halten, haben, fangen
1520	Gothic-1520_beherrscht-1	ɡ a h a β a n d s	CVCVCVCCC	beherrscht
1521	Gothic-1521_heftenanhangen-1	ɡ a h a ɸ t j a n	CVCVCCCVC	heften, anhängen
1522	Gothic-1522_anhangensichanheften-1	ɡ a h a ɸ t n a n	CVCVCCCVC	anhangen, sich anheften
1523	Gothic-1523_zusammengeheftet-1	ɡ a h a ɸ t s	CVCVCCC	zusammengeheftet
1524	Gothic-1524_zusammenhangend-1	ɡ a h a h j ɪ s	CVCVCCVC	zusammenhängend
1525	Gothic-1525_zusammenhangendimzusammenhangderreihenach-1	ɡ a h a h j o	CVCVCCV	zusammenhängend, im Zusammenhang, der Reihe nach
1526	Gothic-1526_heilenherstellen-1	ɡ a h ɛ l j a n	CVCVCCVC	heilen, herstellen
