Gothic	Meaning
brūþs	Neuvermählte, Schwiegertochter, junge Frau
bruzdōn	sticken
buggja	Knolle, Schwellung
bugjan	kaufen, verkaufen
būks	Bauch
Bulgar	Bulgar
bundnan	gebunden werden
būrjō	Gebäude
būska	Scheit
būsns	Gebot
bwssaún	feines Linnen, feine Leinwand
cadariou	Soldat
contropare	vergleichen
contropatio	Vergleich
criten	weinen
d	d, Abkürzung für 4
daban	sich ereignen, passen
daddjan	säugen
dagis	tags
dags	Tag, dRune
daigs	Teig
daila	Teilnahme, Gemeinschaft, Mine, Pfund
dailjan	teilen, einem zuteilen, mitteilen
dails	Teil, Anteil
daimōnāreis	Besessener
dalaþ	zu Tal, abwärts, nieder, herab, hinunter, hinab
dalaþa	unten
dalaþrō	von unten, unten
dals	Grube, Schlucht, Tal
dammjan	dämmen
damms	Damm
Danila	Dänlein
Dans	Däne
Danus	Däne
darnjan	verheimlichen
darns	zauberisch
daubei	Taubheit, Verhärtung, Verstocktheit
daubiþa	Verstocktheit, Verhärtung, Taubheit
daubjan	taub sein, verstocken
daubnan	verstockt werden, taub werden
daufs	taub, verstockt
daúhtar	Tochter
daúhts	Bewirtung, Mahl, Gastmahl, Mahlzeit
dauka	Erdhöhle, Wohnung
dauns	Geruch, Wohlgeruch, Dunst
daupeins	Abwaschung, Taufe, Waschung
daupjan	taufen, tauchen, sich taufen lassen
daupjands	Täufer
daúr	einflügeliges Tor, Tür, Pforte
daúrawarda	Türhüterin, Pförtnerin
daúrawardō	Türhüterin, Pförtnerin
daúrawards	Torwart, Türhüter
daúri	Tor
daúrō	zweiflügeliges Tor, Tür, Pforte
daúrsan	wagen
dauþeins	Absterben, Sterben, Tod, Todesgefahr
dauþjan	töten
dauþnan	sterben
dauþs	tot
dauþubleis	zum Tode bestimmt, dem Tode geweiht, zum Tode verurteilt
dauþus	Tod
dēdja	Täter
deinō	Distel
deis	weise, klug
deisei	Schlauheit
dēþs	Tat
diabaúlus	Teufel
diabula	Verleumderin
diakaúnus	Diakon, Pfleger
digan	kneten, aus Ton bilden, bilden, formen
digrei	Fülle
digrs	voll, zusammengeknetet, dicht
dis	zer..., auseinander..., ver...
disdailjan	verteilen, zerteilen, teilen
disdriusan	befallen
dishaban	ergreifen, behalten, festhalten
dishniupan	zerreißen
dishnupnan	zerreißen, zerrissen werden
dishuljan	verhüllen, bedecken
disks	Tisch
disniman	besitzen
dissigqan	untersinken, untergehen, sinken
dissitan	ergreifen, überfallen
disskaidan	zerteilen
disskreitan	zerreißen
disskritnan	zerreißen
distaheins	Zerstreuung
distahjan	zerstreuen, vergeuden, verschwenden
distaíran	zerreißen, auseinanderzerren, verderben
distaúrnan	zerreißen
diswidan	auflösen
diswilwan	ausplündern, berauben, plündern
diswinþjan	auseinanderwerfen, zermalmen, worfeln, zerstreuen
diswiss	Auflösung, Abmarsch, Scheiden
diupei	Tiefe
diupiþa	Tiefe, Meerestiefe
diupjan	vertiefen
diups	tief
dius	wildes Tier, Tier
diwan	sterben
diwanei	Sterblichkeit
dōbnan	verstummen
dōfs	schicklich, passend
dōgs	tägig
dōmeins	Urteil
dōmjan	urteilen, beurteilen, unterscheiden, rechtfertigen, rechnen, meinen
dōms	Urteil, Ruhm
draban	hauen
dragan	tragen, aufladen, ziehen
dragk	Trank
dragkjan	tränken, tränken mit
draibjan	treiben, plagen, antreiben
drakma	Drachme
draúhsna	Brocken, Brosamen, Bissen
draúhtinassus	Feldzug, Kriegsdienst
draúhtinōn	Kriegsdienste tun, zu Felde ziehen, sammeln, dienen
draúhtins	Führer, Herrscher
draúhtiwitōþ	Feldzug, Kriegsrecht, Kriegsdienst
draúhts	Heer, Schar, Gefolge, Volk
drausjan	stürzen
dreiban	treiben
drigkan	trinken
driugan	zu Felde ziehen, kämpfen, Kriegsdienste tun
driusan	fallen, herabfallen
driusō	Abhang
drōbjan	trüben, irre machen, aufwiegeln, bewegen, erschüttern, aufregen
drōbjis	trüb
drōbna	Aufruhr, Aufstand
drōbnan	unruhig werden, erschüttert werden, sich beunruhigen
drugkanei	Trunkenheit
drugkja	Trinker
drugks	Trank
drunjus	Schall
drus	Fall
drūþs	traut, lieb
du	zu, nach ... hin, für, in
duatgaggan	hinzugehen, hinzukommen zu
duatrinnan	hinzurennen, hinzulaufen
duatsniwan	hinzueilen
dūbō	Taube
dugan	taugen, nützen
dugawindansik)	sich verwickeln, sich verstricken
duginnan	beginnen, anfangen, versuchen,
duƕē	wozu, warum
dulgahaitja	Schuldheischer, Gläubiger
dulgs	Schuld
dulþjan	ein Fest feiern
dulþs	Fest, Osterfest
dumbnan	verstummen
dumbs	stumm
durinnan	hinzulaufen, hinzurennen
dustōdjan	anfangen, anheben
dūþē	deshalb, deswegen, weil, damit, dazu, darum dass
dwalawaúrdei	Torenrede, törichtes Gerede
dwalawaúrds	töricht redend
dwaligōn	betrügen
dwaliþa	Torheit
dwalmōn	rasen
dwalms	Verzückung, Betäubung
dwals	töricht
dwilan	säumen, betäuben
e	e, Abkürzung für 5
ei	da, so, in dem Fall, bei dem Umstand, dass, damit, ob, und
eigs	ig
eis	Eis, iRune
eisarn	Eisen
eisarnabandi	Eisenband, Kette
eisarneins	eisern
eiþan	daher, somit, nun
ela	Ahle
ēmaitja	Ameise
enguz	Iggws, Speer, Mann, nRune
era	Ära, Zeitabschnitt
erls	Mann, edler Mann
ēt	Essen
ēta	Esser
ētja	Esser
ēts	essend
eyz	Pferd, eRune
ezec	leicht, zRune
fadar	Vater
fadrein	Abkunft, Geschlecht, Stamm, Eltern, Großeltern, Vorfahren
fadreins	Geschlecht
fadreins	väterlich
faginōn	sich freuen
fagins	froh
fagrs	passend, geeignet, geschickt
fāh	Fang
fāhan	fangen, greifen
fahēþs	Freude
fahrjan	zubereiten
fahs	fröhlich, froh
fáian	tadeln
faihan	sich freuen
faihs	bunt
faíhu	Vieh, Vermögen, Geld, fRune
faíhufrikei	Habsucht, Gewinnsucht, Geldgier
faíhufriks	habsüchtig, geldgierig, gewinnsüchtig
faíhugaírnei	Habsucht, Habgier
faíhugaírns	geldgierig, habsüchtig
faíhugawaúrki	Erwerb, Geldgewinn, Gewinn
faíhugeigan	begehren, habgierig sein
faíhugeirō	Habsucht, Habgier, Geldgier
faíhugeirs	habgierig, habsüchtig
faíhuskula	Schuldner
faíhuþraihn	Viehansammlung, Geldansammlung, Reichtum
faír	ver, ent, er
faíraihan	teilhaben an
faírgreipan	ergreifen, greifen
faírguni	Berg, Gebirge
faírhaitan	verheißen, Dank wissen
faírƕus	Welt
faírina	Schuld, Vorwurf, Grund, Ursache, Anklagegrund, Beschuldigung
faírina	tadelig, unrecht
faírinōdaba	tadelig
faírinōn	tadeln, beschuldigen
faírinōþs	schuldig, tadelig, bescholten
faírins	tadelig, unrecht
faírjan	abreisen, weggehen, sich wegbewegen
faírlaistiþs	aufspürbar, erforschlich
faírneis	alt
faírniþa	Alter
faírns	vorjährig, alt
faírra	fern, fern von, weg von
faírraþrō	von fern
faírrinnan	sich erstrecken, reichen zu
faírwaúrkjan	erwirken
faírweit	Hinblick, Aufmerken, Neugier
faírweitan	angestrengt sehen
faírweitjan	hinblicken, gaffen, umherspähen, spähen
faírweitl	Schauspiel
faírzna	Ferse
falda	Falte
falka	Falke
falþ	fältig
falþaba	fältig
falþan	falten, zusammenrollen, zusammenlegen
falþei	fältigkeit
falþs	fältig
falwiska	Flugasche, Funke
falws	fahl, falb, gelblich, grau
fana	Stück Zeug, Zeugstück, Lappen, Tuch, Schweißtuch
fani	Schlamm, Kot
fanþja	Fußsoldat
fara	Fahrerin, Fahrt
faran	wandern, ziehen, fahren, gehen
Faraō	Pharao
Fareisaius	Pharisäer
farjan	fahren, schiffen
farþa	Fahrt, Reise
farwa	Farbe, Aussehen, Gestalt
faskja	Binde
fasta	Fasten
fastan	halten, festhalten, beobachten, bewachen, fasten
fasteis	Kundiger
fastnēms	sparsam
fasts	fest
fastubni	Halten, Dienst, Fasten, Haltung, Gottesdienst
fata	Umfassung, Kleiderbündel, Fetzen
faþa	Zaun, Scheidewand
faþs	Herr, Führer
faúhō	Füchsin, Fuchs
faúr	vor, längs, für, inbetreff, um willen, über
faúra	vor, für, vorn, längs, vorher
faúradaúri	Straße, Gasse
faúrafilli	Vorhaut
faúragagga	Vorgänger, Hausverwalter, Verwalter, Vorsteher
faúragaggan	vorangehen, vorstehen
faúragaggi	Verwaltung, Haushaltung, Vorsteheramt
faúragaggja	Verwalter, Vorsteher
faúragahaitan	zuvor verheißen
faúragahugjan	vorherdenken, sich vornehmen
faúragaleikan	vorher gefallen
faúragamanwjan	vorherbereiten, vorher zubereiten
faúragamēljan	vorherschreiben, verkünden
faúragaraidjan	vorherbestimmen
faúragarēdan	vorherbestimmen
faúragasandjan	vorausentsenden, voraussenden
faúragasatjan	vorsetzen, vorstellen, darstellen
faúragateihan	vorherverkünden, vorhersagen
faúrahāh	Vorhang
faúrahāhan	vorhängen
faúramanwjan	vorbereiten
faúramaþleis	Vorsteher, Gebieter, Sprecher
faúramaþli	Oberbefehl, Vorsteheramt
faúramēljan	vorzeichnen, vormalen, vor Augen malen
faúraqiman	vorgehen, vor jemand hergehen
fauraqiþan	vorhersagen
faúrarahnjan	übertreffen
faúrastandan	dabeistehen, vorstehen
faúratani	Wunderzeichen
faúrawēnjan	vorher hoffen
faúrawisan	vorhanden sein
faúrbaúhts	Loskauf, Loskaufung, Erlösung
faúrbigaggan	vorausgehen, vorangehen
faúrbisniwan	vorangehen, zuvorkommen
faúrbiudan	verbieten, gebieten
faúrbjan	reinigen, putzen, glätten
faúrdammjan	verdämmen, versperren, eindämmen, hindern
faúrdōmeins	Vorurteil
faúrdōmjan	vorher urteilen
faúrgaggan	vorübergehen, vorbeigehen
faúrhāh	Vorhang
faúrhāhan	vorhängen
faurhs	Furche
faúrhtei	Furcht, Entsetzen
faúrhtjan	sich fürchten
faúrhts	furchtsam
faúrlageins	Vorlegung
faúrlagjan	vorlegen, vorsetzen
faúrmūljan	das Maul verbinden
faúrqiþan	sich entschuldigen, für ungültig erklären, aufheben, umstoßen
faúrrinnan	vorhergehen
faurs	ehrbar, bescheiden
faúrsigljan	versiegeln
faúrsniwan	vorwegnehmen, vorausgehen, zuvorkommen
faúrstandan	vorstehen
faurstass	Vorstehen, Aufsicht
faúrstasseis	Vorsteher
faúrþis	zuvor, früher, vorher
faúrþizei	bevor, ehe
faúrwaipjan	verbinden
faúrwalwjan	vorwälzen, davorwälzen
faúrweis	vorsätzlich, bedacht
faus	wenig, wenige
fēhaba	anständig, ehrbar
fēhs	anständig
fenea	Gerstengraupen
fēr	Nachstellung
fēra	Seite, Gegend, Glied, Körperteil
fērja	Aufpasser, Nachsteller
fers	Mann
fēteins	Kleidung
fētjan	schmücken
feusa	Speck
fidur	vier
fidurdōgs	viertägig
fidurfalþs	vierfältig, vierfach
fidurragineis	Vierfürst
fidurragini	Vierfürstenamt, Tetrarchie
fidwōr	vier
fidwōrtaíhun	vierzehn
fidwōrþūsundjos	viertausend
figgragulþ	Fingergold, Fingerring
figgrs	Finger
fijan	hassen, verabscheuen
fijands	Feind
fijaþwa	Feindschaft
filaus	um vieles, viel
filhan	verbergen, begraben
filigri	Höhle, Versteck
fill	Fell, Haut
filleins	ledern
fills	häutig
films	Schrecken
filtur	Filz
filu	viel, sehr, um vieles
filudeis	arglistig
filudeisei	Arglist, Schlauheit, List
filufaíhs	sehr bunt, reichhaltig, mannigfaltig
filugalaufs	sehr wertvoll, sehr kostbar
filusna	Vielheit, Menge, Übermaß
filuwaúrdei	vieles Reden, Schwatzhaftigkeit, Geschwätz
filuwaúrdjan	viel Worte machen, viel plappern, viel reden
filuwaúrds	viel redend, viel sprechend
fimf	fünf
fimfhunda	fünfhundert
fimfta	fünfte
fimftaíhun	fünfzehn
fimftataíhunda	fünfzehnte
fimftigjus	fünfzig
fimfþūsunjōs	fünftausend
finja	Gerste
Finnhaiþas	Bewohner von Finnahaithi
finþan	erkennen, erfahren
fiskja	Fischer
fiskōn	fischen
fisks	Fisch
fitan	kreißen, gebären
flahta	Flechte
flaíhtan	flechten
flaskō	Flasche
flautjan	prahlen
flauts	ruhmsüchtig, prahlerisch
flōdus	Strom, Flut
flōkan	betrauern, beklagen
fōdeins	Nahrung, Speise
fōdjan	ernähren, aufziehen
fōdr	Scheide
fōn	Feuer
fōtubandi	Fußband, Fußfessel, Fußschelle
fōtubaūrd	Fußbank, Schemel
fōtus	Fuß
fra	ver...
fraatjan	zum Essen austeilen
frabaíran	vertragen, ertragen
frabaúhtabōka	Verkaufsurkunde
frabugjan	verkaufen
fradailjan	verteilen unter
fragan	fragen
fragiban	vergeben, verleihen, schenken, geben, gewähren
fragifts	Verleihung, Verlobung, Gabe
fragildan	vergelten, erstatten
Fragka	Franke
frahinþan	gefangennehmen, fangen
fraíhnan	fragen
fraisan	versuchen
fraista	Versuchung
fraistōn	versuchen
fraistubni	Versuchung
fraitan	verzehren, fressen
fraiw	Same
frakunnan	verachten
frakunþs	verachtet
fralēt	Erlass, Entlassung
fralētan	lassen, freilassen, entlassen, herablassen, gestatten
fralēts	Freigelassener
fralēwjan	verraten
fraliusan	verlieren
fralusnan	verloren gehen, verloren werden
fralusts	Verderben, Verlust
fram	weiter, von, von ... her, von ... an, an, vor, seit, bei
framaldrs	im Alter vorgeschritten, bejahrt
framaþeis	fremd
framaþjan	entfremden
framgāhts	Fortschritt
framis	weiter
frams	tüchtig
framwaírþis	fernerhin
framwairþs	zukünftig
framwigis	fortwährend, für immer
franiman	nehmen, in Besitz nehmen, in Empfang nehmen, gewinnen
fraqiman	verzehren, ausgeben, vertun, verwenden
fraqisteins	Verderb, Vergeudung, Verschwendung
fraqistjan	verderben, umbringen
fraqistnan	umkommen, zugrunde gehen, verderben
fraqiþan	für ungültig erklären, aufheben, verfluchen, verwünschen
frarinnan	sich verlaufen zu, geraten unter
fraslindan	verschlingen, verschlucken
frastisibja	Kindschaft
frasts	Kind
fraþi	Verstand, Sinn, Gesinnung
fraþjamarzeins	Verstandestäuschung
fraþjan	denken, erkennen, verstehen, merken, verständig sein
fraþjands	verständig
fraþjei	Klugheit, Verstand, Verständigkeit, Besonnenheit
fraþjis	gesinnt
frauja	Herr
fraujinassus	Herrschaft
fraujinōn	herrschen, Herr sein
fraujinōnds	Herrscher, Herr
fraujis	Herr
fraus	froh
fratrudan	treten, trampeln
frawaírpan	verwerfen, zerstreuen, wegwerfen
frawaírþan	verderben, zugrunde gehen
frawardeins	Verderben
frawardjan	verderben, entstellen
frawaúrhts	sündig, Sünder
frawaúrhts	Sünde
frawaúrkjan	sündigen, versündigen, eine Sünde begehen
fraweit	Strafe, Rache
fraweitan	rächen, Recht verschaffen, strafen
frawilwan	fortreißen, gewaltsam ergreifen
frawisan	verbrauchen, vergeuden, verschwenden
frawrikan	verfolgen, rächen
frawrōhjan	verklagen, verdächtigen, verleumden, anzeigen
freideins	Schonung, Erhaltung
freidjan	schonen
freihals	frei
freihals	Freiheit
freis	frei
freiþs	hübsch, schön
friaþwamilds	zärtlich liebend, liebreich
frijaþwa	Liebe
frijei	Freiheit
frijōn	lieben, gern tun
frijōndi	Freundin
frijōnds	Freund
frijōns	Kuss, Liebeszeichen
frikei	Gier, Sucht
friks	süchtig, gierig
frisahtjan	abbilden
frisahtnan	abgebildet werden, Gestalt annehmen
frisahts	Bild, Beispiel, Rätsel, dunkles Bild
frisks	frisch
friþōn	schützen
friþus	Friede, Schutz
frius	Frost, Kälte
friusan	frieren
frōdaba	klug, verständig, weise
frōdei	Klugheit, Verstand
frōþs	klug, verständig, weise
frum	Anfang
fruma	erste
frumabaúr	Erstgeborener
frumadei	Vorrang
frumaþ	vorwärts
frumaþeis	erste
frumei	Anfang
frumist	zuerst
frumisti	Anfang
frumists	der erste
frumjan	fördern, vollbringen
fugls	Vogel
fula	Fohlen, Füllen
fulcus	Volk
fulgins	verborgen
fulhsni	Geheimnis
fulk	Kriegsvolk, Schar
fullafahjan	Genüge leisten, dienen, Genüge tun, befriedigen, zufriedenstellen
fullafraþjan	bei Verstand sein
fullatōjis	vollkommen
fullaweis	vollkommen
fullaweisjan	überreden, überzeugen
fullawita	vollkommen
fullei	Fülle
fulleins	Füllung, Erfüllung
fulleiþs	Fülle, Vollmond
fullja	Fülle, Maß, Fass
fulljan	füllen, anfüllen
fullnan	voll werden, erfüllt werden
fullō	Fülle, Füllung, Flicken, Ausfüllung
fulls	voll, vollkommen
fūls	faul, stinkend
fulþ	Feld
funisks	feurig
funs	bereit, eilig, tapfer
fwnīkisks	phönikisch
fy	590
g	g, Abkürzung für 3
ga	ge..., mit...
gaaggwei	Einschränkung
gaaggweins	Beengung, Einschränkung
gaaggwjan	bedrängen
gaaiginōn	in Besitz nehmen, übervorteilen, in Beschlag nehmen
gaainan	vereinzeln, trennen
gaaistan	sich scheuen vor, achten
gaaiwiskōn	beschämen, beschimpfen
gaandjan	enden, endigen, aufhören
gaar	Jahr, jRune
gaarbja	Miterbe
gaarman	sich erbarmen, bemitleiden
gaaukan	sich vermehren, zunehmen
gabaidjan	zwingen, gebieten, nötigen
gabaíran	zusammentragen, vergleichen, gebären
gabaírgan	bergen, bewahren, erhalten
gabaírhteins	Erscheinung
gabaírhtjan	offenbaren, Gestalt gewinnen, erscheinen
gabandwjan	durch Winke andeuten, ein Zeichen geben, andeuten
gabatnan	Vorteil erlangen, Nutzen erlangen
gabáuan	Wohnung aufschlagen, wohnen
gabaúr	Zusammengebrachtes, Kollekte, Steuer
gabaúr	Festgelage, Schmaus
gabaúrgja	Mitbürger, Mitbewohner
gabaúrjaba	gern
gabaúrjō	erfreulich
gabaúrjōn	sich freuen
gabaúrjōþus	Lust, Vergnügen
gabaúrþiwaurd	Geschlechtsregister
gabaúrþs	Geburt, Abstammung, Geschlecht, Geburtsland
gabei	Reichtum
gabeidan	ausharren, ertragen
gabeistjan	durchsäuern
gabidjan	bitten, beten
gabigaba	reichlich
gabigjan	reich machen, bereichern
gabignan	reich sein
gabigs	reich
gabinda	Band, Binde
gabindan	binden
gabindi	Band
gabiugan	beugen
gablauþjan	abschaffen, triumphieren
gableiþeins	Erbarmen
gableiþjan	sich erbarmen, barmherzig sein
gablindjan	verblenden, blenden
gabōtjan	verbessern, herstellen
gabrannjan	verbrennen
gabrikan	zerbrechen
gabruka	Brocken
gabundi	Band
gadaban	sich ereignen, eintreffen, passen
gadaila	Teilnehmer, Genosse
gadailjan	zuteilen, zerteilen, teilen
gadaubjan	verstocken, verstockt machen
gadauka	Hausgenosse
gadaúrsan	sich erkühnen, wagen, freimütig sein
gadauþjan	Tod bringen, töten
gadauþnan	sterben
gadeltha	schön
gadēþs	Tat
gadigan	kneten, bilden, aus Ton bilden
gadigis	Gebilde
gadiliggs	Vetter
gadiupjan	vertiefen
gadōfs	schicklich, passend
gadōmjan	urteilen, entscheiden, sich vergleichen, sich messen mit
gadraban	aushauen
gadragan	zusammentragen
gadragkjan	tränken mit
gadraúhts	Soldat
gadrausjan	hinabstürzen, niederwerfen, herabwerfen
gadrigkan	trinken
gadriusan	hinfallen, aufhören, fallen
gadrōbnan	in Bestürzung geraten
gafāh	Fang
gafāhan	ergreifen, erfassen, ertappen, fangen
gafahrjan	zubereiten
gafaihan	sich freuen
gafaihōn	übervorteilen, beanspruchen, in Besitz nehmen, täuschen
gafairinōnds	tadelig, bescholten
gafairinōþs	tadelig, schuldig
gafastan	behalten, bewahren, halten
gafaúrds	Versammlung, hoher Rat
gafaurs	ehrbar, nüchtern, besonnen, gesittet
gafēhaba	anständig, ehrbar
gafēhs	anständig, passend, schicklich
gafēteins	Kleidung
gafētjan	kleiden
gafilh	Begräbnis
gafilhan	begraben, verbergen
gafraíhnan	erfragen, fragen, erfahren
gafraþjei	Klugheit, Besonnenheit, Verständigkeit
gafraþjis	klug, vernünftig
gafraujinōn	unterjochen, herrschen
gafreideins	Erhaltung, Bewahrung, Schonung
gafreidjan	erhalten, schonen
gafrijōns	Kuss
gafrisahtjan	abbilden
gafrisahtnan	abgebildet werden, Gestalt annehmen, dargestellt werden
gafriþōn	versöhnen
gafriþōns	Versöhnung
gafulgins	verborgen
gafullaweisjan	beglaubigen, vollenden
gafulljan	erfüllen, füllen, anfüllen
gafullnan	erfüllt werden
gagaggan	zusammenkommen, sich versammeln, kommen, sich begeben, eintreten, ausschlagen
gagahaftjan	zusammenheften, verbinden
gagaleikōn	sich verwandeln, eine Gestalt annehmen
gagamainjan	verunreinigen, entheiligen
gagatilōn	zusammenfügen
gagawaírþjan	versöhnen
gagawaírþnan	sich versöhnen, versöhnt werden
gageigan	gewinnen
gagg	Gang, Weg, Straße
gagga	Gänger, Geher
gaggan	gehen, wandeln, umhergehen, kommen
gaggi	Gehen, Gang
gaggja	Gänger, Geher
gaggjan	gehen, reisen
gagrēfts	Beschluss, Verordnung, Befehl
gagudaba	fromm, gottesfürchtig
gagudei	Frömmigkeit
gaguþs	ehrbar, anständig
gahaban	ergreifen, enthalten, halten, haben, fangen
gahabands	beherrscht
gahaftjan	heften, anhängen
gahaftnan	anhangen, sich anheften
gahafts	zusammengeheftet
gahāhjis	zusammenhängend
gahāhjō	zusammenhängend, im Zusammenhang, der Reihe nach
gahailjan	heilen, herstellen
gahailnan	geheilt werden, hergestellt werden, gesund werden
gahails	ganz unversehrt
gahait	Verheißung, Versprechen
gahaitan	zusammenrufen, verheißen, sich bekennen zu
gahamōn	sich bekleiden, sich anziehen
gahardjan	verhärten, verstocken
gahaunjan	erniedrigen
gahauseins	Gehör, Predigt
gahausjan	hören, vernehmen, das Gehör bekommen
gahilpan	helfen
gahlaiba	Genosse, Amtsgenosse
gahlaifs	Genosse
gahnaiwjan	erniedrigen
gahnipnan	sich betrüben
gahōbains	Enthaltsamkeit
gahōban	sich enthalten
gahōrinōn	Ehebruch begehen
gahraineins	Reinigung
gahrainjan	reinigen
gahts	Gang
gāhts	gangbar
gahugds	Gesinnung, Sinn, Gewissen
gahugjan	meinen
gahuljan	verhüllen, verbergen
gaƕaírban	umdrehen, umkehren, bekehren
gaƕaírbs	fügsam, getreu, gehorsam
gaƕatjan	anreizen, verlocken
gaƕeilains	Verweilen, Ruhe
gaƕeilan	zur Ruhe kommen, aufhören, verweilen
gaƕeitjan	weißen, weiß machen
gaƕōtjan	bedrohen, schelten, strafen
gaíaínna	Hölle
gaibnjan	gleichmachen, ebnen
gaida	Speerspitze
gaidreigōn	bereuen, Buße tun, sich ändern
gaidw	Mangel
gailjan	fröhlich machen, erfreuen
gails	Speer
gails	froh, fröhlich, üppig
gain	Waffe
gainōn	gähnen
gaírda	Gürtel, Gurt
gairdan	gürten
gaírnei	Verlangen, Wunsch, Begehren
gairnjan	begehren, verlangen, bedürfen
gaírns	begierig, gierig
gaíruni	Leidenschaft
gais	Ger, Speer
gaisjan	schrecken
gaitein	Böcklein, Zicklein, junge Ziege
gaiteins	Ziegen
gaits	Ziege
gajiukan	besiegen, überwinden
gajuk	Gespann, Paar
gajuka	Genosse
gajukō	Genossin
gajukō	Zusammenstellung, Zusammenjochung, Gleichnis
gakannjan	verkünden, berichten, bekanntmachen, empfehlen
gakarōn	besorgen, sich kümmern, sorgen für
gakausjan	erproben, prüfen
gakiusan	erproben, wählen, prüfen
gakrōtōn	zerbrechen, zerschellen, zermalmen
gakunds	Überredung
gakunnan	nachgeben, unterordnen, gehorchen
gakunnan	kennenlernen, erfahren
gakunþs	Anfang, Bekanntwerdung
gakusans	bewährt, erprobt, auserwählt
gakusts	Probe, Prüfung
gala	Sänger
galagjan	hinlegen, legen, werfen, auflegen, aufsetzen, liegen
galaisjan	lehren, belehren, lernen
galaista	Nachfolger, Verfolger, Begleiter
galaistjan	nachfolgen, befolgen, pflegen
galan	rufen, singen
galatjan	aufhalten, verhindern, verzögern
galaþōn	zusammenberufen, einladen
galaubei	Glanz, Kostbarkeit, Pracht
galaubeins	Glaube
galaubeins	gläubig
galaubjan	glauben, anvertrauen
galaufs	wertvoll, kostbar, teuer
galaugnjan	verbergen, verborgen bleiben
galausjan	erlösen, befreien, losmachen, loslassen, bewahren, behüten, eintreiben
gald	unfruchtbarer Boden
galeika	Miteinverleibter, eines Leibes
galeikan	gefallen
galeiki	Ähnlichkeit, Abbild
galeikō	ähnlich, gleich
galeikōn	vergleichen, gleichen, nachahmen
galeiks	ähnlich, gleich
galeiþan	kommen, gehen, fahren
galēkinōn	herstellen, heilen
galēwjan	hingeben, überlassen
galēwjands	Verräter
galga	Pfahl, Kreuz
galigri	Beilager, Beischlaf
galisan	zusammenlesen, versammeln, sammeln
galiug	Lüge, Götzenbild
galiugaapaústaúlus	Lügenapostel, falscher Apostel
galiugabrōþar	Lügenbruder, falscher Bruder
galiugaguþ	Lügengott, Götze, falscher Gott
galiugan	ein Weib nehmen, heiraten
galiugan	belügen, lügen
galiugapraúfētus	Lügenprophet, falscher Prophet
galiugaweitwōþs	Lügenzeuge, falscher Zeuge
galiugaxristus	Lügenchristus, falscher Christus
galiuhtjan	erleuchten, ans Licht bringen
galþeis	unfruchtbar
galūkan	verschließen, fangen, zuschließen, schließen
galuknan	sich verschließen, verschlossen werden
gamagan	gelten, bedeuten, vermögen
gamaindūþs	Gemeinschaft
gamainei	Gemeinschaft
gamainja	Teilnehmer
gamainjan	gemein machen, Gemeinschaft halten, mitteilen, Anteil haben, sich beteiligen, verunreinigen, entheiligen
gamains	gemein, gemeinsam, gemeinschaftlich, teilhaftig, unheilig
gamainþs	Versammlung
gamaitan	zerschneiden, verschneiden
gamaiþs	verkrüppelt, verwundet
gamalteins	Auflösung
gamaltjan	auflösen, schmelzen
gamalwjan	zermalmen, zerknirschen
gaman	Mitmensch, Teilnehmer, Genosse, Gemeinschaft, Genossenschaft
gamanwjan	zubereiten, bereiten
gamarka	benachbart, angrenzend
gamarkō	Grenznachbarin
gamarkōn	grenzen an
gamarzeins	Ärgernis
gamarzjan	ärgern, Ärgernis erregen, Ärgernis nehmen
gamatjan	essen
gamaudeins	Erinnerung
gamaudjan	erinnern
gamaúrgjan	verkürzen, abkürzen, kürzen
gamēleins	Schrift, Buchstabenschrift
gamēliþsbzw.þatagamēlidō)	Geschriebenes, Schrift
gamēljan	schreiben, aufschreiben, sich in die Listen eintragen lassen
gamikiljan	groß machen, preisen, erheben
gaminþi	Erinnerung, Gedächtnis
gamitan	zumessen, zuteilen
gamitōn	denken, überlegen
gamitōns	Gedanke
gamiþsandjan	mitsenden
gamōtan	Raum finden, Erlaubnis haben, dürfen
gamōtjan	begegnen
gamunan	sich erinnern, gedenken
gamunds	Andenken, Gedächtnis
ganagljan	festnageln, annageln, nageln
ganah	es genügt
ganaitjan	beschimpfen, schmähen, lästern
ganamnjan	benennen, nennen
ganasjan	erretten, herstellen, heilen, retten
ganatjan	benetzen
ganaúha	Genüge, Auskommen, Genügsamkeit
ganaúhan	genügen, zur Genüge versehen sein mit
ganawistrōn	begraben
gands	Stock, Stab, Zauber
ganiman	mitnehmen, erhalten, erben, davontragen, vergolten bekommen, empfangen, lernen, aufnehmen
ganisan	genesen, gerettet werden, selig werden
ganists	Rettung, Heil, Erhaltung
ganiþjis	Verwandter
ganiutan	ergreifen, erwischen, fangen
ganōhjan	gewähren, befriedigen, sich genügen lassen
ganōhnan	zur Genüge versehen sein
ganōhs	genug, viel
ganōn	gähnen
gans	Gans
gansjan	verursachen
ganta	Wildgans
gapaidōn	bekleiden
gaqiman	zusammenkommen, hinkommen, kommen, sich versammeln
gaqiss	übereinstimmend
gaqiss	Verabredung
gaqiþan	sich verabreden, übereinkommen, beschließen, besprechen
gaqiujan	beleben, lebendig machen
gaqiunan	aufleben, lebendig werden
gaqumþs	Zusammenkunft, Versammlung, Vereinigung
garaginōn	Rat geben, raten
garahnjan	abschätzen
